
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Generated I01n0056: juans=1 blocks=3
Generated I01n0057: juans=1 blocks=2
Generated I01n0058: juans=1 blocks=1
Generated I01n0059: juans=1 blocks=1
Generated I01n0060: juans=1 blocks=2
Generated I01n0061: juans=1 blocks=1
Generated I01n0062: juans=1 blocks=4
Generated I01n0063: juans=1 blocks=2
Generated I01n0064: juans=1 blocks=2
Generated I01n0065: juans=1 blocks=1
Generated I01n0066: juans=1 blocks=3
Generated I01n0067: juans=1 blocks=7
Generated I01n0068: juans=1 blocks=2
Generated I01n0069: juans=1 blocks=1
Generated I01n0070: juans=1 blocks=2
Generated I01n0071: juans=1 blocks=2
Generated I01n0072: juans=1 blocks=5
Generated I01n0073: juans=1 blocks=26
Generated I01n0074: juans=1 blocks=6
Generated I01n0075: juans=1 blocks=3
Generated I01n0076: juans=1 blocks=2
Generated I01n0077: juans=1 blocks=1
Generated I01n0078: juans=1 blocks=1
Generated I01n0079: juans=1 blocks=1
Generated I01n0080: juans=1 blocks=2
Generated I01n0081: juans=1 blocks=2
Generated I01n0082: juans=1 blocks=3
Generated I01n0083: juans=1 blocks=4
Generated I01n0084: juans=1 blocks=3
Generated I01n0085: juans=1 blocks=4
Generated I01n0086: juans=1 blocks=3
Generated I01n0087: juans=1 blocks=1
Generated I01n0088: juans=1 blocks=1
Generated I01n0089: juans=1 blocks=1
Generated I01n0090: juans=1 blocks=3
Generated I01n0091: juans=1 blocks=4
Generated I01n0092: juans=1 blocks=1
Generated I01n0093: juans=1 blocks=1
Progress 500/4602 blocks=330803 skipped=0 errors=0
Generated I01n0094: juans=1 blocks=3
Generated I01n0095: juans=1 blocks=1
Generated I01n0096: juans=1 blocks=2
Generated I01n0097: juans=1 blocks=1
Generated I01n0098: juans=1 blocks=2
Generated I01n0099: juans=1 blocks=3
Generated I01n0100: juans=1 blocks=1
Generated K05n0016: juans=1 blocks=56
Generated K32n1064: juans=2 blocks=1278
Generated K34n1257: juans=12 blocks=45944
Generated K35n1257: juans=18 blocks=67253
Generated K35n1258: juans=25 blocks=8508
Generated K35n1259: juans=30 blocks=11000
Generated K35n1260: juans=11 blocks=3646
Generated K35n1261: juans=5 blocks=329
Generated K38n1402: juans=30 blocks=1375
Generated K41n1482: juans=9 blocks=833
Generated L115n1490: juans=3 blocks=965
Generated L116n1490: juans=37 blocks=9367
Generated L130n1557: juans=17 blocks=6238
Generated L131n1557: juans=18 blocks=4198
Generated L132n1557: juans=18 blocks=4272
Generated L133n1557: juans=30 blocks=4166
Generated L135n1571: juans=1 blocks=19
Generated L141n1600: juans=4 blocks=1993
Generated L143n1608: juans=10 blocks=2804
Generated L149n1629: juans=1 blocks=99
Generated L153n1635: juans=1 blocks=2
Generated L153n1636: juans=4 blocks=271
Generated L153n1637: juans=10 blocks=775
Generated L153n1638: juans=6 blocks=600
Generated L154n1638: juans=4 blocks=301
Generated L154n1639: juans=20 blocks=1419
Generated L154n1640: juans=10 blocks=977
Generated L154n1641: juans=7 blocks=750
Generated L155n1642: juans=3 blocks=389
Generated L155n1643: juans=20 blocks=1253
Generated L157n1649: juans=4 blocks=593
Generated L157n1651: juans=1 blocks=15
Generated L158n1652: juans=20 blocks=1255
Generated L162n1666: juans=1 blocks=6
Generated L164n1668: juans=20 blocks=639
Generated L164n1669: juans=20 blocks=694
Generated LC01n0001: juans=17 blocks=806
Generated LC02n0002: juans=26 blocks=829
Generated LC03n0003: juans=14 blocks=639
Generated LC04n0004: juans=14 blocks=1040
Generated LC05n0005: juans=18 blocks=576
Generated LC06n0006: juans=17 blocks=2315
Generated LC07n0007: juans=11 blocks=1333
Progress 550/4602 blocks=522636 skipped=0 errors=0
Generated LC08n0007: juans=10 blocks=1132
Generated M59n1540: juans=5 blocks=245
Generated N01n0001: juans=4 blocks=1890
Generated N02n0001: juans=11 blocks=2497
Generated N03n0002: juans=10 blocks=1510
Generated N04n0002: juans=12 blocks=1259
Generated N05n0003: juans=19 blocks=1821
Generated N06n0004: juans=14 blocks=2252
Generated N07n0004: juans=9 blocks=2086
Generated N08n0004: juans=11 blocks=1508
Generated N09n0005: juans=4 blocks=517
Generated N10n0005: juans=4 blocks=470
Generated N11n0005: juans=4 blocks=994
Generated N12n0005: juans=4 blocks=1043
Generated N13n0006: juans=11 blocks=3675
Generated N14n0006: juans=10 blocks=4843
Generated N15n0006: juans=13 blocks=5445
Generated N16n0006: juans=7 blocks=3890
Generated N17n0006: juans=6 blocks=3781
Generated N18n0006: juans=9 blocks=3835
Generated N19n0007: juans=3 blocks=3578
Generated N20n0007: juans=1 blocks=3067
Generated N21n0007: juans=1 blocks=2790
Generated N22n0007: juans=2 blocks=2131
Generated N23n0007: juans=1 blocks=2126
Generated N24n0007: juans=2 blocks=2325
Generated N25n0007: juans=2 blocks=2494
Generated N26n0008: juans=1 blocks=141
Generated N26n0009: juans=1 blocks=848
Generated N26n0010: juans=1 blocks=234
Generated N26n0011: juans=1 blocks=348
Generated N27n0012: juans=1 blocks=3724
Generated N27n0013: juans=1 blocks=1913
Generated N28n0014: juans=1 blocks=1426
Generated N28n0015: juans=1 blocks=2802
Generated N28n0016: juans=1 blocks=1104
Generated N29n0017: juans=39 blocks=7130
Generated N30n0017: juans=20 blocks=8864
Generated N31n0018: juans=2 blocks=1276
Generated N32n0018: juans=1 blocks=884
Generated N33n0018: juans=1 blocks=1120
Generated N34n0018: juans=2 blocks=1615
Generated N35n0018: juans=3 blocks=1555
Generated N36n0018: juans=4 blocks=1743
Generated N37n0018: juans=3 blocks=1619
Generated N38n0018: juans=2 blocks=1863
Generated N39n0018: juans=4 blocks=1899
Generated N40n0018: juans=2 blocks=2129
Generated N41n0018: juans=1 blocks=2873
Generated N42n0018: juans=1 blocks=2821
Progress 600/4602 blocks=635771 skipped=0 errors=0
Generated N43n0019: juans=2 blocks=2240
Generated N44n0019: juans=2 blocks=836
Generated N44n0020: juans=1 blocks=2165
Generated N44n0021: juans=1 blocks=748
Generated N45n0022: juans=10 blocks=1122
Generated N46n0022: juans=6 blocks=1244
Generated N47n0023: juans=19 blocks=1885
Generated N48n0024: juans=5 blocks=3253
Generated N49n0025: juans=15 blocks=1883
Generated N50n0025: juans=3 blocks=1082
Generated N50n0026: juans=2 blocks=1533
Generated N50n0027: juans=1 blocks=768
Generated N51n0028: juans=6 blocks=2698
Generated N52n0028: juans=1 blocks=1154
Generated N53n0028: juans=3 blocks=3123
Generated N54n0029: juans=2 blocks=3169
Generated N55n0029: juans=2 blocks=3021
Generated N56n0029: juans=2 blocks=3084
Generated N57n0029: juans=1 blocks=1528
Generated N58n0029: juans=2 blocks=1857
Generated N59n0029: juans=1 blocks=6442
Generated N60n0029: juans=2 blocks=7327
Generated N61n0030: juans=5 blocks=1836
Generated N62n0030: juans=18 blocks=1850
Generated N63n0031: juans=13 blocks=1873
Generated N64n0031: juans=12 blocks=1010
Generated N65n0032: juans=22 blocks=178
Generated N65n0033: juans=37 blocks=378
Generated N66n0034: juans=63 blocks=535
Generated N67n0035: juans=7 blocks=1028
Generated N68n0035: juans=6 blocks=883
Generated N69n0035: juans=10 blocks=1258
Generated N70n0036: juans=1 blocks=211
Generated N70n0037: juans=1 blocks=352
Generated N70n0038: juans=1 blocks=119
Generated P154n1519: juans=12 blocks=2435
Generated P155n1519: juans=8 blocks=1156
Generated P167n1573: juans=1 blocks=88
Generated P168n1581: juans=30 blocks=4386
Generated P174n1590: juans=1 blocks=584
Generated P178n1610: juans=1 blocks=20
Generated P178n1611: juans=21 blocks=561
Generated P179n1611: juans=2 blocks=1485
Generated P179n1612: juans=18 blocks=3701
Generated P180n1612: juans=32 blocks=6279
